Year,PPD_Projected
1850,5.0
1851,4.995641516584808
1852,4.99128091173137
1853,4.986916064001443
1854,4.9825448519567805
1855,4.978165154159138
1856,4.973774849170269
1857,4.969371815551931
1858,4.964953931865877
1859,4.9605190766738625
1860,4.9560651285376425
1861,4.951589966018972
1862,4.947091467679606
1863,4.942567512081299
1864,4.938015977785805
1865,4.933434743354881
1866,4.928821687350282
1867,4.924174688333761
1868,4.9194916248670735
1869,4.914770375511975
1870,4.910008818830221
1871,4.905204833383566
1872,4.900356297733763
1873,4.89546109044257
1874,4.89051709007174
1875,4.88552217518303
1876,4.880474224338191
1877,4.875371116098981
1878,4.870210729027155
1879,4.864990941684466
1880,4.859709632632672
1881,4.854364680433525
1882,4.848953963648781
1883,4.843475360840195
1884,4.837926750569522
1885,4.832306011398517
1886,4.826611021888935
1887,4.820839660602529
1888,4.814989806101058
1889,4.809059336946273
1890,4.803046131699931
1891,4.796948068923786
1892,4.790763027179594
1893,4.784488885029109
1894,4.778123521034087
1895,4.7716648137562805
1896,4.765110641757447
1897,4.758458883599341
1898,4.7517074178437175
1899,4.744854123052329
1900,4.737896877786934
1901,4.730833560609286
1902,4.7236620500811375
1903,4.716380224764247
1904,4.708985963220369
1905,4.701477144011257
1906,4.693851645698666
1907,4.686107346844352
1908,4.678242126010069
1909,4.670253861757573
1910,4.662140432648616
1911,4.653899717244958
1912,4.64552959410835
1913,4.6370279418005484
1914,4.628392638883306
1915,4.619621563918382
1916,4.610712595467527
1917,4.601663612092499
1918,4.592472492355051
1919,4.583137114816939
1920,4.573655358039917
1921,4.5640251005857415
1922,4.554244221016165
1923,4.544310597892945
1924,4.5342221097778355
1925,4.52397663523259
1926,4.513572052818966
1927,4.503006241098717
1928,4.492277078633598
1929,4.481382443985364
1930,4.470320215715769
1931,4.45908827238657
1932,4.44768449255952
1933,4.436106754796375
1934,4.42435293765889
1935,4.41242091970882
1936,4.400308579507919
1937,4.388013795617942
1938,4.375534446600645
1939,4.362868411017783
1940,4.35001356743111
1941,4.33696779440238
1942,4.323728970493351
1943,4.310294974265775
1944,4.296663684281409
1945,4.282832979102006
1946,4.268800737289322
1947,4.254564837405112
1948,4.240123158011131
1949,4.225473577669133
1950,4.210613974940874
1951,4.19554222838811
1952,4.180256216572594
1953,4.16475381805608
1954,4.149032911400325
1955,4.133091375167084
1956,4.116927087918111
1957,4.100537928215161
1958,4.08392177461999
1959,4.0670765056943505
1960,4.05
1961,4.032685626001041
1962,4.0151087117709725
1963,3.9972400752856414
1964,3.9790505345208955
1965,3.9605109074525817
1966,3.9415920120565477
1967,3.922264666308641
1968,3.9024996881847076
1969,3.8822678956605965
1970,3.861540106712154
1971,3.840287139315228
1972,3.8184798114456653
1973,3.7960889410793137
1974,3.77308534619202
1975,3.7494398447596318
1976,3.7251232547579973
1977,3.7001063941629626
1978,3.674360080950375
1979,3.6478551330960824
1980,3.620562368575932
1981,3.5924526053657715
1982,3.5634966614414476
1983,3.5336653547788077
1984,3.5029295033536996
1985,3.47125992514197
1986,3.438627438119467
1987,3.4050028602620372
1988,3.370357009545528
1989,3.334660703945788
1990,3.297884761438662
1991,3.26
1992,3.221023490306582
1993,3.1811573138389306
1994,3.140649804778501
1995,3.0997492973067486
1996,3.058704125605131
1997,3.017762623855102
1998,2.9771731262381187
1999,2.937183966935637
2000,2.898043480129112
2001,2.86
2002,2.8232873266438703
2003,2.7880811238127436
2004,2.7545425211727554
2005,2.72283264839004
2006,2.693112635130731
2007,2.6655436110609636
2008,2.640286705846872
2009,2.6175030491545916
2010,2.597353770650256
2011,2.58
2012,2.565498339692327
2013,2.553487283505212
2014,2.5435007980390005
2015,2.535072849894037
2016,2.5277374056706665
2017,2.521028431969232
2018,2.514479895390081
2019,2.5076257625335545
2020,2.5
2021,2.49126468980425
2022,2.4815943756190952
2023,2.471291716531816
2024,2.4606593716296907
2025,2.45
2026,2.4395625362111946
2027,2.42938101675641
2028,2.4194357536099504
2029,2.4097070587461245
2030,2.4001752441392368
2031,2.390820621763594
2032,2.3816235035935023
2033,2.3725642016032675
2034,2.3636230277671957
2035,2.3547802940595934
2036,2.346016312454766
2037,2.337311394927021
2038,2.3286458534506633
2039,2.3199999999999994
2040,2.311354146549336
2041,2.3026886050729787
2042,2.2939836875452335
2043,2.2852197059404067
2044,2.276376972232804
2045,2.267435798396732
2046,2.2583764964064974
2047,2.2491793782364056
2048,2.239824755860763
2049,2.230292941253875
2050,2.220564246390049
